name,lat,lon,type,opening_hours
(আয়েশা মেডিসিন সেন্টার),23.824514,90.364002,pharmacy,
0point,23.742067,90.39213,shop_electronics,"Mo,We-Su 10:00-20:00; Tu off"
1 No.Shukkur Super Market,23.68869,90.514315,marketplace,
1 Price Store,23.806533,90.36234,shop_convenience,
1 To 100 Market,23.851541,90.414695,shop_gift,
1 to 100,23.719732,90.425306,shop_gift,
1 to 99,23.753122,90.378518,shop_gift,"Mo-Su,PH 08:00-10:00"
1 to 99,23.809565,90.372921,shop_gift,Mo-Su 08:00-23:00
1 to 99 Gift Shop,23.8438,90.38732,shop_gift,
1 to 99 Market ১ টু ৯৯ মার্কেট,23.846904,90.252072,shop_yes,
1-99,23.744529,90.44262,shop_variety_store,
1-99 Shop,23.698201,90.422592,shop_gift,
1-99 plus,23.754098,90.408245,shop_gift,
10 Storied Market (Banasree),23.75805,90.441209,shop_supermarket,
"100 no. Ghatakchar Govt. Primary School, Madaripur",23.172452,90.124972,school,
101 no Dignagar govt. Primary School,23.302332,90.004711,school,
11 no. Bazar,23.815132,90.369663,shop_supermarket,"PH,Mo-Su 06:00-23:00"
"110 no. Sonamukhi model government primary school, Vedorgonj - Shariatpur Rd",23.175652,90.360331,school,
12 no. west Maijpara Goverment Primary School,23.084454,90.170371,school,"08:30-12:30,15:30-20:00"
135 No. Salil Gobindapur Govt. Primary School,24.382969,89.837078,school,
13NO BRIDGE,23.869534,90.392836,fast_food,19:00-23:00
13No Bus Station,23.705951,90.424065,bus_station,
"140 Harun Or Rashid Govt. Primary School, Primary School, Madaripur",23.181135,90.235554,school,
158,23.741581,90.39166,building_commercial,
163 No Beluba Aditto Pasha Govt Primary School,24.292649,90.688368,school,
17 No Chitar Bazar Govt Primary School,23.431742,89.71275,school,
17 No New Islamia Government Primary School,23.720098,90.38063,school,
"17 South Crockchar Govt Primary School, Shibchar",23.277288,90.22385,school,
18 NO. Chandrapur Government Primary School,23.249085,90.268295,school,
19 Restaurant,23.764413,90.358983,restaurant,
1st Year Student Bus Station,23.878894,90.268637,bus_station,
2 No C & B Bus Stop,24.207134,90.418994,bus_station,
2 No Collectoret Market,23.607544,89.843076,marketplace,
2 No Primary School,24.419395,90.655118,school,
